Country,Change_top,Change_bottom
Finland,0.100029945,
Norway,-0.038572788,
Denmark,-0.253184795,
Iceland,0.6069417,
Switzerland,-0.037209034,
Netherlands,-0.125106335,
Canada,-0.212795258,
New Zealand,0.021494865,
Sweden,-0.111707211,
Australia,-0.079471111,
Burundi,,-0.773024559
Central African Republic,,-0.484894991
South Sudan,,-0.935800018
Tanzania,,-0.365739584
Yemen,,-1.223777533
Rwanda,,-0.787680387
Syria,,-1.400695086
Liberia,,-0.713324785
Haiti,,-0.223927736
Malawi,,-1.561476707
