Country,AVG_Happiness_Foreign
Finland,7.662303925
Denmark,7.546741009
Norway,7.434960842
Iceland,7.426853657
New Zealand,7.286391258
Syria,3.516278267
Togo,3.569603682
Rwanda,3.898634672
Ivory Coast,3.908273458
South Sudan,3.924532413
